제목,평점,리뷰
런,7,긴장감은 있었지만 어디선가 봤을 법한 스토리라 그럭저럭 지루하지 않게 잘 봤음
원더 우먼 1984,7,저는 재밌었어여 감동적입니다
국제수사,8,난 재미있었는데...
원더 우먼 1984,6,난 진짜 재밌었는데 왤케 화내는 사람들이 많징..
기억의 밤,9,원작이 없다니.. 그게 가장 놀랍다. 한국에서도 이런 시나리오가 가능하구나... 경찰서 장면이 가장 인상적임
바스터즈: 거친 녀석들,10,스파이여자배우랑 한스 구두씬... 와 내가 여자배우였으면 진짜.... 뼈도못추릴듯
해수의 아이,5,"소재나 영상, 사운드는 좋았는데 너무 불친절한 전개로 몰입도가 떨어진다."
용루각: 비정도시,1,누가 누가 연기 더 못하나 시합하는 영화. 밑에 누가 술먹고 보기 좋은 영화라고 했어.. 술이 깬다..
엑소더스: 신들과 왕들,6,80년대 만든것보다 보다 못하네요.
아이 캔 스피크,10,위안부문제 일본이 꼭 진심으로 사죄해야된다고 생각합니다
로얄 테넌바움,8,개인적으로 웨스 앤더슨 작품 중 원탑
말할 수 없는 비밀,10,"예전에 학생때 영화관에서그냥 무작정 골라서 본 영화였어요. 장르가 판타지,드라마로 되어있었는데 잔잔한 로맨스여서 뭐가 판타지라는거지?라다가 후반부로 갈수록 헐ㅇㅁㅇ! 이러고 봤었던 기억이 있네요. 스토리와 연출도 좋았고 피아노배틀 장면에 나왔던 변주곡이라던가 연탄곡, 주제곡이었던 비밀 등 곡들도 좋았어서 한동안 그 곡들 치는 친구들이 진짜 많았었어요ㅋㅋ 주걸륜씨가 연출, 각본, 연기까지 다 했어서 인상깊었고 본업이 뮤지션이었다보니 피아노치는 장면들이 다 자연스럽고 더 멋지게 나왔던것같아요. 간간히 유치한 대사나 장면이 없진 않으나 그래도 다시봐도 재밌네요. 저한테 피아노영화 중에 오랫동안 기억에 남는건 '피아니스트의 전설'이랑 이 '말할 수 없는 비밀' 이렇게 두 개예요. 이 영화가 2007년영화라니... 14년전이라...세월이 참 빠르네요. 넷플릭스에서 아주 오랜만에 다시보고 추억에 젖어 리뷰써봅니다ㅋㅋ"
내가 죽던 날,10,내가 다 시켜씀니다ㅠ 마지막 반전 생각못했어요
레이니 데이 인 뉴욕,9,재즈에 뉴욕거리에 우디앨런식 개드립이 더해졌으니 두말 할 것도 없음
차인표,5,평점 알바가 정말로 존재한 다는 것을 알게됨..절대로 기대하고 보면 안됨. 10점 수두룩 한 걸 보고 낚인 1인.. 웃음 포인트는 2~3있음
해리 포터와 죽음의 성물 - 1부,10,
조제,8,"일본 원작과는 다른 느낌이지만, 애잔한 감동을 주네요.조제와 영석이 어디선가 행복하길 바랍니다.."
헌터 킬러,9,긴장감 넘치는 연출 매끄러운 구성 스피디한 전개 거의 흠이 없음.
악마를 보았다,10,대한민국견찰하테넘길바에 저런복수가맞지
